name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phocaeicola coprophilus	387090	S	1396546	383987	1780533	0.13840
Phocaeicola vulgatus	821	S	1080784	894423	1975207	0.15354
Phocaeicola dorei	357276	S	489883	424375	914258	0.07107
Phocaeicola salanitronis	376805	S	5351	393	5744	0.00045
Bacteroides uniformis	820	S	407764	428955	836719	0.06504
Bacteroides thetaiotaomicron	818	S	85943	21092	107035	0.00832
Bacteroides eggerthii	28111	S	48771	14622	63393	0.00493
Bacteroides xylanisolvens	371601	S	29083	141685	170768	0.01327
Bacteroides stercoris	46506	S	29078	9985	39063	0.00304
Bacteroides sp. HF-162	2785531	S	3781	44178	47959	0.00373
Bacteroides sp. A1C1	2528203	S	3596	26454	30050	0.00234
Bacteroides sp. CACC 737	2755405	S	2757	16039	18796	0.00146
Bacteroides sp. M10	2763022	S	1478	2782	4260	0.00033
Bacteroides sp. KFT8	2025659	S	1188	2813	4001	0.00031
Bacteroides sp. D2	556259	S	862	2556	3418	0.00027
Bacteroides sp. CG01	3096000	S	212	76	288	0.00002
Bacteroides sp. DH3716P	2847299	S	135	1839	1974	0.00015
Bacteroides ovatus	28116	S	15960	47765	63725	0.00495
Bacteroides fragilis	817	S	13251	13143	26394	0.00205
Bacteroides hominis	2763023	S	7000	57392	64392	0.00501
Bacteroides caccae	47678	S	6539	14117	20656	0.00161
Bacteroides salyersiae	291644	S	5370	654	6024	0.00047
Bacteroides cellulosilyticus	246787	S	4502	3189	7691	0.00060
Bacteroides faecis	674529	S	4466	1600	6066	0.00047
Bacteroides caecimuris	1796613	S	2948	1684	4632	0.00036
Bacteroides helcogenes	290053	S	1740	73	1813	0.00014
Bacteroides zhangwenhongii	2650157	S	1554	2309	3863	0.00030
Bacteroides humanifaecis	2792859	S	1046	9529	10575	0.00082
Bacteroides faecium	2715212	S	821	72	893	0.00007
Bacteroides pyogenes	310300	S	801	59	860	0.00007
Bacteroides zoogleoformans	28119	S	770	169	939	0.00007
Bacteroides difficilis	2763021	S	541	812	1353	0.00011
Bacteroides finegoldii	338188	S	534	701	1235	0.00010
Bacteroides nordii	291645	S	506	182	688	0.00005
Bacteroides heparinolyticus	28113	S	417	131	548	0.00004
Bacteroides intestinalis	329854	S	388	69	457	0.00004
Bacteroides luhongzhouii	2650158	S	343	154	497	0.00004
Bacteroides maternus	3117552	S	330	175	505	0.00004
Bacteroides sedimenti	2136147	S	215	4	219	0.00002
uncultured Bacteroides sp.	162156	S	151	2	153	0.00001
Bacteroides graminisolvens	477666	S	105	1	106	0.00001
Parabacteroides merdae	46503	S	510075	242424	752499	0.05849
Parabacteroides distasonis	823	S	74375	427657	502032	0.03902
Parabacteroides johnsonii	387661	S	17298	11011	28309	0.00220
Parabacteroides sp. CT06	2025876	S	3931	257246	261177	0.02030
Parabacteroides sp. ASD2025	3415987	S	704	149	853	0.00007
Parabacteroides absconsus	2951805	S	2599	297	2896	0.00023
Parabacteroides faecis	1217282	S	890	172	1062	0.00008
Parabacteroides goldsteinii	328812	S	532	82	614	0.00005
Parabacteroides chongii	2685834	S	444	91	535	0.00004
Tannerella serpentiformis	712710	S	125	2	127	0.00001
Tannerella forsythia	28112	S	38	11	49	0.00000
Alistipes putredinis	28117	S	129646	31860	161506	0.01255
Alistipes dispar	2585119	S	86060	11393	97453	0.00758
Alistipes communis	2585118	S	49878	5797	55675	0.00433
Alistipes shahii	328814	S	43274	28702	71976	0.00559
Alistipes ihumii	1470347	S	37196	863	38059	0.00296
uncultured Alistipes sp.	538949	S	31092	3062	34154	0.00265
Alistipes onderdonkii	328813	S	14575	3062	17637	0.00137
Alistipes senegalensis	1288121	S	11004	3401	14405	0.00112
Alistipes megaguti	2364787	S	3037	444	3481	0.00027
Alistipes indistinctus	626932	S	1378	84	1462	0.00011
Alistipes sp. i18-0019-D1	3132707	S	1115	384	1499	0.00012
Alistipes sp. dk3624	2662363	S	157	9	166	0.00001
Alistipes finegoldii	214856	S	1175	496	1671	0.00013
Odoribacter splanchnicus	28118	S	83600	11712	95312	0.00741
Butyricimonas faecihominis	1472416	S	38399	18914	57313	0.00446
Butyricimonas paravirosa	1472417	S	5456	3117	8573	0.00067
Butyricimonas virosa	544645	S	4818	1167	5985	0.00047
Butyricimonas faecalis	2093856	S	691	247	938	0.00007
Barnesiella intestinihominis	487174	S	99123	5809	104932	0.00816
Barnesiella sp. An22	1965590	S	11885	1430	13315	0.00103
Barnesiella viscericola	397865	S	1864	294	2158	0.00017
Coprobacter fastidiosus	1099853	S	15573	511	16084	0.00125
Coprobacter secundus	1501392	S	2171	265	2436	0.00019
Prevotella sp. E9-3	2913621	S	1145	303	1448	0.00011
Prevotella sp. Rep29	2691580	S	263	31	294	0.00002
Prevotella sp. E13-17	2913616	S	121	30	151	0.00001
Prevotella sp. oral taxon 475	712471	S	114	14	128	0.00001
Prevotella sp. E2-28	2913620	S	90	21	111	0.00001
Prevotella sp. E15-22	2937774	S	65	17	82	0.00001
Prevotella sp. oral taxon 299	652716	S	17	4	21	0.00000
Prevotella dentalis	52227	S	374	78	452	0.00004
Prevotella communis	2913614	S	247	39	286	0.00002
Prevotella intermedia	28131	S	198	123	321	0.00002
Prevotella denticola	28129	S	179	122	301	0.00002
Prevotella melaninogenica	28132	S	149	89	238	0.00002
Prevotella nigrescens	28133	S	135	110	245	0.00002
Prevotella histicola	470565	S	84	27	111	0.00001
Prevotella multiformis	282402	S	55	40	95	0.00001
Prevotella veroralis	28137	S	37	18	55	0.00000
Prevotella jejuni	1177574	S	32	23	55	0.00000
Prevotella herbatica	2801997	S	31	12	43	0.00000
Segatella copri	165179	S	883	135	1018	0.00008
Segatella oris	28135	S	450	274	724	0.00006
Segatella baroniae	305719	S	213	319	532	0.00004
Segatella hominis	2518605	S	180	40	220	0.00002
Segatella bryantii	77095	S	87	81	168	0.00001
Paraprevotella xylaniphila	454155	S	1365	318	1683	0.00013
Paraprevotella clara	454154	S	549	109	658	0.00005
Pseudoprevotella muciniphila	2133944	S	949	46	995	0.00008
Hoylesella enoeca	76123	S	259	244	503	0.00004
