name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides stercoris	46506	S	3729090	1551313	5280403	0.29036
Bacteroides uniformis	820	S	423543	618847	1042390	0.05732
Bacteroides caccae	47678	S	219875	50332	270207	0.01486
Bacteroides faecis	674529	S	147482	70602	218084	0.01199
Bacteroides ovatus	28116	S	117541	532468	650009	0.03574
Bacteroides thetaiotaomicron	818	S	62905	21458	84363	0.00464
Bacteroides eggerthii	28111	S	43487	15266	58753	0.00323
Bacteroides sp. A1C1	2528203	S	10501	102947	113448	0.00624
Bacteroides sp. M10	2763022	S	5879	10979	16858	0.00093
Bacteroides sp. D2	556259	S	4869	15147	20016	0.00110
Bacteroides sp. KFT8	2025659	S	1481	4013	5494	0.00030
Bacteroides sp. HF-162	2785531	S	960	15026	15986	0.00088
Bacteroides sp. CACC 737	2755405	S	760	5817	6577	0.00036
Bacteroides sp. DH3716P	2847299	S	680	13474	14154	0.00078
Bacteroides sp. ZJ-18	2709390	S	398	6476	6874	0.00038
Bacteroides sp. CG01	3096000	S	196	102	298	0.00002
Bacteroides xylanisolvens	371601	S	24470	145565	170035	0.00935
Bacteroides fragilis	817	S	21556	40102	61658	0.00339
Bacteroides hominis	2763023	S	18231	223983	242214	0.01332
Bacteroides salyersiae	291644	S	6634	973	7607	0.00042
Bacteroides helcogenes	290053	S	1841	120	1961	0.00011
Bacteroides luhongzhouii	2650158	S	1805	1243	3048	0.00017
Bacteroides caecimuris	1796613	S	1760	1402	3162	0.00017
Bacteroides zhangwenhongii	2650157	S	1742	3635	5377	0.00030
Bacteroides nordii	291645	S	1637	835	2472	0.00014
Bacteroides faecium	2715212	S	1334	182	1516	0.00008
Bacteroides finegoldii	338188	S	1260	2421	3681	0.00020
Bacteroides heparinolyticus	28113	S	772	351	1123	0.00006
Bacteroides humanifaecis	2792859	S	676	9077	9753	0.00054
Bacteroides zoogleoformans	28119	S	576	163	739	0.00004
Bacteroides cellulosilyticus	246787	S	571	589	1160	0.00006
Bacteroides maternus	3117552	S	447	355	802	0.00004
Bacteroides intestinalis	329854	S	433	116	549	0.00003
Bacteroides pyogenes	310300	S	301	31	332	0.00002
Bacteroides sedimenti	2136147	S	246	8	254	0.00001
Bacteroides graminisolvens	477666	S	196	6	202	0.00001
Bacteroides difficilis	2763021	S	183	398	581	0.00003
uncultured Bacteroides sp.	162156	S	153	5	158	0.00001
Phocaeicola vulgatus	821	S	4028410	3610905	7639315	0.42007
Phocaeicola dorei	357276	S	403198	363529	766727	0.04216
Phocaeicola coprophilus	387090	S	2694	860	3554	0.00020
Phocaeicola salanitronis	376805	S	1040	96	1136	0.00006
